KE,KT,HC_prop,scale,KC,scenario,HC_label,N,dN
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,6.905239049527627,0.0012389984239028885
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.008302318923562,0.0011048898729082975
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.111365588319496,9.744851750649865e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.214428857715431,8.477587863950035e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.3174921271113655,7.246851629203956e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.4205553965073,6.052387606632106e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.523618665903236,4.893940356454948e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.62668193529917,3.771254438892979e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.729745204695105,2.6840744141666637e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.832808474091039,1.6321448424964758e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,7.935871743486974,6.152102841028909e-5
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.03893501288291,-3.6698470079362385e-5
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.141998282278843,-1.314695551972569e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.2450615516747785,-2.2281777092135019e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.348124821070712,-3.1076866122959154e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.451188090466648,-3.953477700999366e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.554251359862583,-4.765806415103363e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.657314629258517,-5.544928194387415e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.760377898654452,-6.29109847863108e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.863441168050386,-7.004572707613851e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,8.966504437446321,-7.685606321115282e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.069567706842257,-8.334454758914885e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.17263097623819,-8.951373460792171e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.275694245634126,-9.536617866526686e-4
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.37875751503006,-0.0010090443415897944
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.481820784425995,-0.0010613105548685476
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.584884053821929,-0.00111048597046688
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.687947323217864,-0.001156596132362745
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.7910105926138,-0.0011996665845340944
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.894073862009733,-0.001239722870958881
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,9.997137131405669,-0.0012767905356150565
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.100200400801603,-0.0013108951224805744
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.203263670197538,-0.0013420621755333875
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.306326939593474,-0.001370317238751447
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.409390208989407,-0.0013956858561127057
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.512453478385343,-0.0014181935715951177
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.615516747781276,-0.001437865929176633
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.718580017177212,-0.0014547284728352063
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.821643286573147,-0.0014688067465487883
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,10.924706555969081,-0.0014801262942953325
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.027769825365016,-0.0014887126600527916
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.13083309476095,-0.001494591387799117
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.233896364156886,-0.0014977880215122626
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.33695963355282,-0.0014983281051701802
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.440022902948755,-0.0014962371827508217
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.54308617234469,-0.0014915407982321403
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.646149441740624,-0.001484264495592089
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.74921271113656,-0.0014744338188086193
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.852275980532493,-0.0014620743118596842
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,11.955339249928429,-0.0014472115187232355
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.058402519324364,-0.0014298709833772264
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.161465788720298,-0.0014100782497996102
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.264529058116233,-0.0013878588619683375
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,12.367592327512167,-0.0013632383638613617
