site_code,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,sim_id,basin_start
TW,10,0.3191659983961508,5.949648952810094,17.029104572720826,53.355008548198164,53.355008548198164,0.0053758559398268835,FALSE,31,Endemic
TW,10,0.2648,4.1162889818660915,19.487369852140546,73.59278645068183,73.59278645068183,0.004462405101263732,FALSE,32,Endemic
GR,40,0.20394736842105263,4.888013248099014,30.922322343103588,151.6191289081208,151.6191289081208,0.0010663687037312333,FALSE,33,Outbreak basin
AL,15,0.22248995983935743,8.00397585448809,18.699017360340804,84.04431990478086,84.04431990478086,0.002539129692558724,FALSE,34,Endemic
AL,10,0.5659259259259259,4.435347284656018,42.75137672899291,75.54235416772308,75.54235416772308,0.014246002953849675,FALSE,35,Endemic
SI,0,0.5785656728444802,3.9501969357952476,41.556631105486304,71.82699053190599,71.82699053190599,0.0027420439765068806,FALSE,36,Endemic
AL,5,0.5659259259259259,3.3492450702469796,20.620701347943395,36.43710316717746,36.43710316717746,0.01898756933577567,FALSE,37,Endemic
RR,30,0.484,5.376395585946739,15.889901267364621,32.83037451934839,33,0.013436634499612663,TRUE,38,Outbreak basin
RR,25,0.5244195356285029,8.299389217514545,33.08905491605401,63.09653372542207,63.09653372542207,0.0015458584550561722,FALSE,39,Endemic
AL,0,0.2576,5.292542154435068,41.35287141893059,160.53133314802247,160.53133314802247,0.016245940979659198,FALSE,40,Endemic
TB,5,0.35504885993485336,3.754678781144321,44.380029102321714,124.99696270103458,124.99696270103458,0.004430842012008821,FALSE,41,Endemic
AL,0,0.58,6.012332549318671,26.813307667616755,46.229840806235785,46.229840806235785,0.0015297756000678519,FALSE,42,Endemic
RR,30,0.5012244897959184,5.508801015559584,40.260215427260846,80.32371970422562,80.32371970422562,0.008707150617782723,FALSE,43,Endemic
GR,15,0.5808,4.123009404633194,26.97818853892386,46.4500491372656,46.4500491372656,0.007561553456780243,FALSE,44,Endemic
RR,35,0.39556592765460913,3.6364281536079943,38.95789914065972,98.48648838803946,98.48648838803946,0.0029382679763066025,FALSE,45,Endemic
TB,5,0.35504885993485336,5.613388714147732,39.19259002665058,110.38646915763054,110.38646915763054,0.015276155429159426,FALSE,46,Endemic
GR,15,0.5808,4.152391760842875,37.19672327628359,64.04394503492354,64.04394503492354,0.004158285432666535,FALSE,47,Endemic
RR,25,0.46880000000000005,9.859353126492351,34.315923240501434,73.19949496693991,73.19949496693991,0.005727327527962937,FALSE,48,Endemic
RR,35,0.484,5.015437795082107,17.722078941296786,36.615865581191706,38.5,0.002624072130529382,TRUE,49,Outbreak basin
TB,5,0.46036829463570855,4.410438583465293,18.25465963454917,39.652295449655504,39.652295449655504,0.0011805377972188788,FALSE,50,Endemic
GR,25,0.6021052631578947,5.555098840035498,23.40373881859705,38.869845939977616,38.869845939977616,0.006029042095807709,FALSE,51,Outbreak basin
TB,5,0.552,3.6025838411878794,40.8363208710216,73.97884215764782,73.97884215764782,0.004816907590277242,FALSE,52,Endemic
SI,10,0.696,6.435252764960751,43.957667774520814,63.1575686415529,63.1575686415529,0.015134196603264063,FALSE,53,Endemic
TW,25,0.2648,7.415083061438054,27.563148729968816,104.09044082314509,104.09044082314509,0.013930008096073948,FALSE,54,Endemic
TB,5,0.5164658634538153,3.589942662511021,26.57721527153626,51.45977140445201,51.45977140445201,0.0014537616814566136,FALSE,55,Endemic
GR,25,0.5808,4.069871392101049,22.776680106762797,39.21604701577617,39.21604701577617,0.010281426083072837,FALSE,56,Outbreak basin
SI,15,0.8128,9.854215087369084,39.34550360776484,48.40736172215163,48.40736172215163,0.005085642878176126,FALSE,57,Endemic
AL,5,0.2201761409127302,6.818600478116423,28.4237199020572,129.0953678460707,129.0953678460707,0.001285691265545443,FALSE,58,Endemic
TB,0,0.5508406725380304,4.588832653593272,17.98921762034297,32.657751174140074,32.657751174140074,0.004249114627523303,FALSE,59,Endemic
SI,0,0.696,5.106343060731888,28.969872754532844,41.62338039444374,41.62338039444374,0.0015335462430477516,FALSE,60,Endemic
TW,45,0.5124099279423538,7.878697259817272,34.779589518439025,67.87454266957866,67.87454266957866,0.0033882503512772137,FALSE,61,Outbreak basin
TW,50,0.3655999999999999,5.7503129984252155,17.37151619978249,47.51508807380332,55.00000000000001,0.01196198480039651,TRUE,62,Outbreak basin
RR,15,0.484,4.321246683131903,26.814889234956354,55.40266370858751,55.40266370858751,0.013228838174328413,FALSE,63,Endemic
GR,55,0.272,9.662064142525196,29.727569490205497,109.29253489046138,109.29253489046138,0.004010742584131053,FALSE,64,Outbreak basin
TW,15,0.3191659983961508,8.501167536946014,21.98803153820336,68.89214906567736,68.89214906567736,0.0056332241036495855,FALSE,65,Endemic
AL,0,0.2696,3.585867055458948,16.459232240449637,61.050564690095094,61.050564690095094,0.018826510603437176,FALSE,66,Endemic
TW,30,0.3655999999999999,6.425397799815983,20.498634525574744,56.068475179362004,56.068475179362004,0.009720572444613882,FALSE,67,Outbreak basin
TB,5,0.552,4.239954879973084,30.586813513655216,55.410894046476834,55.410894046476834,0.011357754353448834,FALSE,68,Endemic
GR,15,0.20394736842105263,9.31964057451114,22.59007408283651,110.76423421261772,110.76423421261772,0.001570116925515359,FALSE,69,Endemic
RR,25,0.484,4.081044777762145,22.991087059490383,47.50224599068261,47.50224599068261,0.0028598435644530814,FALSE,70,Outbreak basin
TB,5,0.552,8.837043362669647,18.81008323514834,34.076237744833946,34.076237744833946,0.006997760454055809,FALSE,71,Endemic
TW,15,0.4238782051282051,4.865644048899412,40.695321487728506,96.00711005044457,96.00711005044457,0.0019866732354054694,FALSE,72,Endemic
TB,5,0.5508406725380304,3.665477876085788,15.104031118098646,27.419963468757576,27.419963468757576,0.004909314277402853,FALSE,73,Endemic
GR,55,0.39519999999999994,9.729405033402145,30.54799798876047,77.2975657610336,77.2975657610336,0.0016868100974572254,FALSE,74,Outbreak basin
TW,45,0.3191659983961508,5.238822319312021,42.14695192873478,132.05338958575948,132.05338958575948,0.0018161974752468218,FALSE,75,Outbreak basin
AL,5,0.2576,9.415142686339095,23.311813075561076,90.49616877158803,90.49616877158803,0.014205103563884753,FALSE,76,Endemic
TW,15,0.3191659983961508,5.441668827319518,37.12359976256266,116.3143942309438,116.3143942309438,0.0021253079560804556,FALSE,77,Endemic
TW,15,0.5124099279423538,3.002835303544998,21.197100752033293,41.367466936389974,41.367466936389974,0.006681739871494055,FALSE,78,Endemic
TB,5,0.46036829463570855,6.993789469124749,22.375600438099355,48.603695560323644,48.603695560323644,0.015715554866586164,FALSE,79,Endemic
SI,0,0.4432,9.905630082823336,44.793595431838185,101.06858175053742,101.06858175053742,0.0038589623630073725,FALSE,80,Endemic
GR,15,0.2915601023017903,6.037829070817679,44.87976774573326,153.92972972440091,153.92972972440091,0.011178526466186561,FALSE,81,Endemic
TW,5,0.5124099279423538,6.211061792215332,29.944697711616755,58.43894912782708,58.43894912782708,0.0023328388475233465,FALSE,82,Endemic
TB,5,0.6664,6.6638536881655455,29.307575658895075,43.97895507037076,43.97895507037076,0.004814782289879249,FALSE,83,Endemic
AL,0,0.3111467522052927,9.453395840944722,18.189288640860468,58.45887354420877,58.45887354420877,0.0018565229293957127,FALSE,84,Endemic
SI,10,0.696,7.1026195145677775,21.718500377610326,31.20474192185392,31.20474192185392,0.009015601009617654,FALSE,85,Endemic
TW,5,0.3191659983961508,6.321301949908957,25.15760882757604,78.82296032157619,78.82296032157619,0.002055973863263437,FALSE,86,Endemic
SI,0,0.7219983883964545,6.633531114785001,40.56571033783257,56.18531978710962,56.18531978710962,0.008506630963032575,FALSE,87,Endemic
RR,45,0.39556592765460913,7.858077200362459,29.997119684703648,75.83342645956054,75.83342645956054,0.0028891713659662892,FALSE,88,Outbreak basin
TB,5,0.5164658634538153,9.117949826642871,35.92034494271502,69.55027908814961,69.55027908814961,0.004644082109517364,FALSE,89,Endemic
RR,25,0.39556592765460913,8.362866168608889,31.821235532406718,80.44483436953556,80.44483436953556,0.003555726565629713,FALSE,90,Endemic
SI,10,0.4432,8.46591173345223,17.481505118776113,39.44382923911578,39.44382923911578,0.0032604621780968,FALSE,91,Endemic
TB,0,0.46036829463570855,4.918836787343025,23.971777490805835,52.07086971481128,52.07086971481128,0.0030733274364606322,FALSE,92,Endemic
SI,0,0.7510008006405124,8.769139574607834,18.979961501900107,25.272891168308348,25.272891168308348,0.0014528953946841266,FALSE,93,Endemic
TB,0,0.5508406725380304,9.135042892536148,40.27046446921304,73.10728215413822,73.10728215413822,0.0011485681851823245,FALSE,94,Endemic
GR,25,0.45280000000000004,6.1918496154248714,37.965614357963204,83.84632146193286,83.84632146193286,0.004540233063958889,FALSE,95,Endemic
TW,75,0.2648,5.275918864645064,32.15628704521805,121.43612932484159,121.43612932484159,0.014065265860868701,FALSE,96,Outbreak basin
