KT,site_code,site,site_type,transect,HC,HC_prop,KC
20,SI,Shark Island,Control,SI3,69.6,0.696,28.73563218390805
20,SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802,34.56824512534819
20,SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545,27.700892857142858
20,SI,Shark Island,Control,SI6,81.28,0.8128,24.606299212598426
20,SI,Shark Island,Control,SI7,44.96,0.4496,44.48398576512456
20,TB,Tanote Bay,Control,TB1,66.64,0.6664,30.012004801920767
20,TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304,36.30813953488372
20,TB,Tanote Bay,Control,TB3,55.2,0.552,36.23188405797101
20,TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855,43.44347826086957
20,TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153,38.72472783825816
20,TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336,56.33027522935781
20,TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035,41.3953488372093
30,GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994,75.91093117408909
30,GR,Green Rock,High Density,GR2,27.200000000000003,0.272,110.29411764705881
30,GR,Green Rock,High Density,GR3,45.28,0.45280000000000004,66.25441696113074
30,GR,Green Rock,High Density,GR4,58.08,0.5808,51.65289256198347
30,GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903,102.89473684210526
30,GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263,147.09677419354838
30,GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825,113.71875
30,GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947,49.82517482517483
30,RR,Red Rock,High Density,RR1,48.4,0.484,61.98347107438017
30,RR,Red Rock,High Density,RR2,55.84,0.5584,53.72492836676218
30,RR,Red Rock,High Density,RR3,46.88,0.46880000000000005,63.99317406143344
30,RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029,57.206106870229
30,RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913,75.84070796460176
30,RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184,59.85342019543974
30,TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538,58.54687500000001
30,TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508,93.99497487437185
30,TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999,82.05689277899346
30,TW,NA,High Density,TW4,26.479999999999997,0.2648,113.29305135951662
30,TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051,70.77504725897921
30,AL,Aow Leuk,Control,AL1,26.96,0.2696,111.27596439169139
30,AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302,136.25454545454545
30,AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927,96.41752577319588
30,AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743,134.8375451263538
30,AL,Aow Leuk,Control,AL5,57.99999999999999,0.58,51.724137931034484
30,AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576,116.45962732919254
30,AL,Aow Leuk,Control,AL7,30.8,0.308,97.40259740259741
30,AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259,53.01047120418848
30,AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385,107.58620689655172
30,SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124,39.946695095948826
30,SI,Shark Island,Control,SI2,44.32,0.4432,67.68953068592057
30,SI,Shark Island,Control,SI3,69.6,0.696,43.10344827586207
30,SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802,51.852367688022284
30,SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545,41.551339285714285
30,SI,Shark Island,Control,SI6,81.28,0.8128,36.90944881889764
30,SI,Shark Island,Control,SI7,44.96,0.4496,66.72597864768683
30,TB,Tanote Bay,Control,TB1,66.64,0.6664,45.01800720288115
30,TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304,54.46220930232558
30,TB,Tanote Bay,Control,TB3,55.2,0.552,54.347826086956516
30,TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855,65.16521739130435
30,TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153,58.08709175738724
30,TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336,84.49541284403671
30,TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035,62.093023255813954
40,GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994,101.21457489878544
40,GR,Green Rock,High Density,GR2,27.200000000000003,0.272,147.05882352941177
40,GR,Green Rock,High Density,GR3,45.28,0.45280000000000004,88.33922261484098
40,GR,Green Rock,High Density,GR4,58.08,0.5808,68.87052341597796
40,GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903,137.19298245614033
40,GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263,196.1290322580645
40,GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825,151.625
40,GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947,66.43356643356644
40,RR,Red Rock,High Density,RR1,48.4,0.484,82.64462809917356
40,RR,Red Rock,High Density,RR2,55.84,0.5584,71.63323782234957
40,RR,Red Rock,High Density,RR3,46.88,0.46880000000000005,85.32423208191125
40,RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029,76.27480916030534
40,RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913,101.12094395280235
40,RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184,79.80456026058631
40,TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538,78.0625
40,TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508,125.32663316582914
40,TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999,109.40919037199127
40,TW,NA,High Density,TW4,26.479999999999997,0.2648,151.05740181268882
40,TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051,94.36672967863895
40,AL,Aow Leuk,Control,AL1,26.96,0.2696,148.3679525222552
40,AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302,181.67272727272726
40,AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927,128.55670103092783
40,AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743,179.78339350180505
40,AL,Aow Leuk,Control,AL5,57.99999999999999,0.58,68.96551724137932
40,AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576,155.27950310559007
40,AL,Aow Leuk,Control,AL7,30.8,0.308,129.87012987012986
40,AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259,70.68062827225131
40,AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385,143.44827586206895
40,SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124,53.26226012793177
40,SI,Shark Island,Control,SI2,44.32,0.4432,90.25270758122744
40,SI,Shark Island,Control,SI3,69.6,0.696,57.4712643678161
40,SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802,69.13649025069638
40,SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545,55.401785714285715
40,SI,Shark Island,Control,SI6,81.28,0.8128,49.21259842519685
40,SI,Shark Island,Control,SI7,44.96,0.4496,88.96797153024912
40,TB,Tanote Bay,Control,TB1,66.64,0.6664,60.024009603841534
40,TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304,72.61627906976744
40,TB,Tanote Bay,Control,TB3,55.2,0.552,72.46376811594202
40,TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855,86.88695652173914
40,TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153,77.44945567651632
40,TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336,112.66055045871562
40,TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035,82.7906976744186
