sim_id,site_code,date,temp_c,r_t,N,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,basin_start,final_ratio_KC,final_ratio_KT,ended_above_KT,ended_near_KC,ended_near_KE,outcome
6535,SI,2026-06-26,30.371103922526043,0.15,5.625050955068299,5,0.5785656728444802,5.943161922739819,44.8588938312605,77.53466190054914,77.53466190054914,0.002860460297577917,FALSE,Endemic,0.0725488551466613,0.12539433041365833,FALSE,FALSE,TRUE,Endemic
6536,SI,2026-06-26,30.371103922526043,0.15,4.070304678729346,0,0.7219983883964545,9.642102722078562,38.250266555696726,52.97832678082549,52.97832678082549,0.0013136197365865975,FALSE,Endemic,0.07682961931901776,0.1064124526505592,FALSE,FALSE,TRUE,Endemic
6537,RR,2026-06-26,30.371103922526043,0.15,21.237832921041342,20,0.5244195356285029,8.055818035732955,18.932732900138944,36.102264721028305,36.102264721028305,0.005848569021744236,FALSE,Outbreak basin,0.5882687162467968,1.121752101667556,TRUE,FALSE,FALSE,Above threshold
6538,TB,2026-06-26,30.371103922526043,0.15,3.3207900725184007,0,0.5164658634538153,3.4126696032471955,15.38795251166448,29.794713650112406,29.794713650112406,0.010219655174520639,FALSE,Endemic,0.11145568007517577,0.21580454384695774,FALSE,FALSE,TRUE,Endemic
6539,TW,2026-06-26,30.371103922526043,0.15,6.020523426597276,5,0.3191659983961508,6.781715202378109,19.65371069032699,61.578334750848626,61.578334750848626,0.0028184402022702233,FALSE,Endemic,0.09777015651619753,0.3063301135067797,FALSE,FALSE,TRUE,Endemic
6540,RR,2026-06-26,30.371103922526043,0.15,32.98233793022987,35,0.5584,9.920695238979533,38.05776160676032,68.15501720408368,68.15501720408368,0.0034460480232814316,FALSE,Endemic,0.48393118046566425,0.8666389334986824,FALSE,FALSE,FALSE,Intermediate
6541,TB,2026-06-26,30.371103922526043,0.15,5.631966682691038,5,0.35504885993485336,6.455492499051616,39.77974828099832,112.04020846116042,112.04020846116042,0.0014901096743211682,FALSE,Endemic,0.05026737061671393,0.14157874109478144,FALSE,FALSE,TRUE,Endemic
6542,SI,2026-06-26,30.371103922526043,0.15,8.828499730413183,10,0.696,8.716501735849306,27.595268762670457,39.64837465900928,39.64837465900928,0.010274110807375616,FALSE,Endemic,0.22266990277259924,0.3199280212249989,FALSE,FALSE,FALSE,Intermediate
6543,TW,2026-06-26,30.371103922526043,0.15,12.990864691360526,15,0.3655999999999999,8.253782015526667,39.40412871306762,107.77934549526157,107.77934549526157,0.0013560711963693942,FALSE,Endemic,0.12053204286652176,0.3296828305977073,FALSE,FALSE,FALSE,Intermediate
6544,RR,2026-06-26,30.371103922526043,0.15,32.711431099930934,40,0.5584,7.221000258345157,44.18095347471535,79.12061868681116,79.12061868681116,0.006094454722363914,FALSE,Endemic,0.4134375039383217,0.7403966761073095,FALSE,FALSE,FALSE,Intermediate
6545,AL,2026-06-26,30.371103922526043,0.15,11.921635511671285,15,0.22248995983935743,7.3182436362840235,37.96434038551524,170.6339486641389,170.6339486641389,0.0018491278980961763,FALSE,Endemic,0.0698667270200539,0.3140219319132387,FALSE,FALSE,FALSE,Intermediate
6546,TW,2026-06-26,30.371103922526043,0.15,8.159183709948257,0,0.3191659983961508,8.169043922331184,37.32425748137757,116.94308813888901,116.94308813888901,0.018995827181461995,FALSE,Endemic,0.06977055112703963,0.21860270667190554,FALSE,FALSE,TRUE,Endemic
6547,TW,2026-06-26,30.371103922526043,0.15,9.896120927372694,15,0.3655999999999999,9.76223141583614,25.254496706184,69.07685094689279,69.07685094689279,0.017110369328437465,FALSE,Endemic,0.1432624792780575,0.3918557967124111,FALSE,FALSE,FALSE,Intermediate
6548,GR,2026-06-26,30.371103922526043,0.15,14.513764027803584,15,0.5808,9.181134146172553,18.287367986049503,31.486515127495704,31.486515127495704,0.0018364347718121418,FALSE,Endemic,0.46095174296152547,0.7936496951816899,FALSE,FALSE,FALSE,Intermediate
6549,RR,2026-06-26,30.371103922526043,0.15,13.537762546053347,15,0.5012244897959184,8.065680209547281,19.49757306603715,38.899881117093656,38.899881117093656,0.003013155828517886,FALSE,Endemic,0.3480155249138921,0.6943306482402569,FALSE,FALSE,FALSE,Intermediate
6550,TB,2026-06-26,30.371103922526043,0.15,6.077324587326656,5,0.46036829463570855,8.207056692335755,15.52579062525183,33.724717375547016,33.724717375547016,0.0016527780841195112,FALSE,Endemic,0.18020387004734925,0.39143414554632905,FALSE,FALSE,TRUE,Endemic
6551,RR,2026-06-26,30.371103922526043,0.15,42.55934722545179,40,0.5584,4.655935211805627,17.190304251853377,30.784928817788998,44,0.0018641958679772516,TRUE,Outbreak basin,0.9672578914875406,2.4757762632888385,TRUE,TRUE,FALSE,Carrying capacity
6552,RR,2026-06-26,30.371103922526043,0.15,7.224286570976106,30,0.5244195356285029,5.692584280855954,37.294026233721524,71.11486834491325,71.11486834491325,0.014088512101844359,FALSE,Endemic,0.10158616248767688,0.19371162892688304,FALSE,FALSE,FALSE,Intermediate
6553,TW,2026-06-26,30.371103922526043,0.15,68.64354620320042,55,0.4238782051282051,5.903443749062717,29.10465785069391,68.66278449464272,68.66278449464272,0.012644021117485433,FALSE,Outbreak basin,0.9997198148664681,2.358507238097074,TRUE,TRUE,FALSE,Carrying capacity
6554,TB,2026-06-26,30.371103922526043,0.15,3.9508876361292393,0,0.35504885993485336,5.689220351865515,27.45370740070939,77.32374469741087,77.32374469741087,0.0028929754351952686,FALSE,Endemic,0.051095399629055106,0.14391089620293507,FALSE,FALSE,TRUE,Endemic
6555,TW,2026-06-26,30.371103922526043,0.15,60.47663736887019,55,0.5124099279423538,6.168672292260453,29.101026328280568,56.79247169378505,60.50000000000001,0.012829959846548415,TRUE,Outbreak basin,0.9996138408077717,2.078161666418569,TRUE,TRUE,FALSE,Carrying capacity
6556,GR,2026-06-26,30.371103922526043,0.15,12.557186565087175,20,0.45280000000000004,3.041347134159878,40.32028813613579,89.04657273881578,89.04657273881578,0.002537051310704869,FALSE,Endemic,0.14101819058122428,0.31143593326242114,FALSE,FALSE,FALSE,Intermediate
6557,RR,2026-06-26,30.371103922526043,0.15,3.536421407163248,15,0.5584,3.096545189851895,36.53753882506862,65.43255520248678,65.43255520248678,0.009843851788796015,FALSE,Endemic,0.054046818074267186,0.09678871431638104,FALSE,FALSE,FALSE,Intermediate
6558,AL,2026-06-26,30.371103922526043,0.15,8.77141229044419,10,0.5659259259259259,8.673748655244708,34.3260841537267,60.654729852789316,60.654729852789316,0.009029350765283365,FALSE,Endemic,0.14461217306107282,0.2555319811943041,FALSE,FALSE,FALSE,Intermediate
6559,TB,2026-06-26,30.371103922526043,0.15,4.789661460258181,5,0.35504885993485336,4.537285550264642,40.90301259420812,115.20389785708161,115.20389785708161,0.0015504131162895963,FALSE,Endemic,0.04157551566701403,0.11709801201626889,FALSE,FALSE,FALSE,Intermediate
6560,TW,2026-06-26,30.371103922526043,0.15,11.66451811138949,15,0.3191659983961508,7.539673142600805,34.39862383296713,107.77659276309048,107.77659276309048,0.002365302596151067,FALSE,Endemic,0.10822867760377149,0.3390983944017664,FALSE,FALSE,FALSE,Intermediate
6561,GR,2026-06-26,30.371103922526043,0.15,66.19659480735028,55,0.5808,6.442121049389243,41.996146221645176,72.30741429346621,72.30741429346621,0.006610101620578935,FALSE,Outbreak basin,0.9154883417443941,1.5762540319290532,TRUE,FALSE,FALSE,Above threshold
6562,GR,2026-06-26,30.371103922526043,0.15,8.884614258210933,15,0.26380873866446825,8.592762500979006,25.982750938273966,98.49086527539475,98.49086527539475,0.01277698046801073,FALSE,Endemic,0.09020749521661996,0.34194278655550003,FALSE,FALSE,FALSE,Intermediate
6563,TB,2026-06-26,30.371103922526043,0.15,4.344432779357041,5,0.5164658634538153,4.0553622976876795,18.22069325018674,35.279569356893454,35.279569356893454,0.00393307012472608,FALSE,Endemic,0.12314302182682853,0.23843400027123096,FALSE,FALSE,FALSE,Intermediate
6564,RR,2026-06-26,30.371103922526043,0.15,16.729928773431535,25,0.39556592765460913,4.668321003438905,30.29659302905202,76.5905021412908,76.5905021412908,0.005163007149826615,FALSE,Endemic,0.21843346506031383,0.5522049544445102,FALSE,FALSE,FALSE,Intermediate
6565,SI,2026-06-26,30.371103922526043,0.15,17.122777084720965,20,0.4496,5.6211774982512,28.05659517645836,62.40345902237179,62.40345902237179,0.002031427424317234,FALSE,Endemic,0.27438826874296196,0.6102941920439545,FALSE,FALSE,FALSE,Intermediate
6566,GR,2026-06-26,30.371103922526043,0.15,9.517223386319975,10,0.272,9.16346287750639,20.713673571590334,76.15321166025858,76.15321166025858,0.004011471501774952,FALSE,Endemic,0.12497468168222571,0.45946574147877095,FALSE,FALSE,FALSE,Intermediate
6567,AL,2026-06-26,30.371103922526043,0.15,6.990542181622052,10,0.22248995983935743,3.794182604877278,39.83353929128498,179.0352217243675,179.0352217243675,0.0018993713987727528,FALSE,Endemic,0.039045625292571176,0.1754938754124589,FALSE,FALSE,FALSE,Intermediate
6568,GR,2026-06-26,30.371103922526043,0.15,70.15206948055473,55,0.2915601023017903,5.817728820024058,37.7462925366126,129.46316124399584,129.46316124399584,0.0017635103269044922,FALSE,Outbreak basin,0.5418689672527072,1.8585154929456884,TRUE,FALSE,FALSE,Above threshold
6569,TW,2026-06-26,30.371103922526043,0.15,25.367477188828715,30,0.5124099279423538,3.4429249321110547,36.785973517689854,71.7901264431166,71.7901264431166,0.002768908798941854,FALSE,Endemic,0.35335607339999336,0.6895964619946745,FALSE,FALSE,FALSE,Intermediate
6570,TW,2026-06-26,30.371103922526043,0.15,2.883013113242205,0,0.4238782051282051,3.9721722316462547,25.949851779732853,61.220066202469944,61.220066202469944,0.0030842661829628597,FALSE,Endemic,0.04709261671993894,0.11109940579675576,FALSE,FALSE,TRUE,Endemic
6571,TW,2026-06-26,30.371103922526043,0.15,12.023384241174549,15,0.2648,6.712136928224936,32.30914366431534,122.01338241810932,122.01338241810932,0.001846998854547952,FALSE,Endemic,0.09854152063396965,0.37213565194097303,FALSE,FALSE,FALSE,Intermediate
6572,TB,2026-06-26,30.371103922526043,0.15,7.204422409386718,5,0.6664,9.508041063556448,15.077281852718443,22.62497276818494,22.62497276818494,0.0034334629631412716,FALSE,Endemic,0.3184278930720978,0.4778329727972656,FALSE,FALSE,TRUE,Endemic
6573,TW,2026-06-26,30.371103922526043,0.15,9.91800445531866,15,0.2648,7.706388853490353,32.657560736406595,123.32915685954153,123.32915685954153,0.004525840742670561,FALSE,Endemic,0.08041897559239936,0.3036970377356471,FALSE,FALSE,FALSE,Intermediate
6574,RR,2026-06-26,30.371103922526043,0.15,36.142869789464356,35,0.5584,3.6511175495106727,22.00001109391451,39.398300669617676,39.398300669617676,0.0012958850204507699,FALSE,Outbreak basin,0.9173712869635575,1.6428568892613853,TRUE,FALSE,FALSE,Above threshold
6575,TW,2026-06-26,30.371103922526043,0.15,10.776204587364564,15,0.5124099279423538,7.110812600236386,19.360147076658905,37.78253702929214,37.78253702929214,0.007480707311386699,FALSE,Endemic,0.28521654273798397,0.5566179091870969,FALSE,FALSE,FALSE,Intermediate
6576,SI,2026-06-26,30.371103922526043,0.15,4.300681088013863,0,0.7219983883964545,9.119462167378515,37.662619210314006,52.16440897321393,52.16440897321393,0.001542638445848695,FALSE,Endemic,0.08244473909830423,0.11418964421986111,FALSE,FALSE,TRUE,Endemic
6577,SI,2026-06-26,30.371103922526043,0.15,4.190671000812468,0,0.5785656728444802,6.204742455389351,22.881351811811328,39.5484089115012,39.5484089115012,0.0029214099496905318,FALSE,Endemic,0.10596307452444101,0.18314787671982075,FALSE,FALSE,TRUE,Endemic
6578,AL,2026-06-26,30.371103922526043,0.15,3.266487842914507,5,0.22248995983935743,3.2601176551543176,25.471419089008123,114.4834540282134,114.4834540282134,0.014513507120066174,FALSE,Endemic,0.02853240121589545,0.1282412978837178,FALSE,FALSE,FALSE,Intermediate
6579,TB,2026-06-26,30.371103922526043,0.15,3.3394023770929513,0,0.48314606741573035,4.896692223846912,39.37217612983659,81.49124826873154,81.49124826873154,0.0026690589860880213,FALSE,Endemic,0.04097866271578872,0.08481630190012084,FALSE,FALSE,TRUE,Endemic
6580,GR,2026-06-26,30.371103922526043,0.15,109.96746053264768,40,0.20394736842105263,3.5727156666107476,33.866189564578235,166.05357463922232,166.05357463922232,0.00544780845759272,FALSE,Outbreak basin,0.6622408507107986,3.247116429291658,TRUE,FALSE,FALSE,Above threshold
6581,GR,2026-06-26,30.371103922526043,0.15,20.51445510320671,25,0.26380873866446825,9.382931218249723,41.289161830209196,156.51172906263673,156.51172906263673,0.0019000424333095287,FALSE,Endemic,0.13107295680694148,0.49684842689631253,FALSE,FALSE,FALSE,Intermediate
6582,TB,2026-06-26,30.371103922526043,0.15,8.034507853074341,5,0.46036829463570855,8.824791131075472,32.26668238872662,70.08884574525139,70.08884574525139,0.004805589851718259,FALSE,Endemic,0.11463318831468543,0.24900322122616017,FALSE,FALSE,TRUE,Endemic
6583,TB,2026-06-26,30.371103922526043,0.15,3.9543295444566398,0,0.48314606741573035,3.961619067005813,16.841504720505327,34.857998142441254,34.857998142441254,0.018824992996275238,FALSE,Endemic,0.11344109688393314,0.23479668889930344,FALSE,FALSE,TRUE,Endemic
6584,GR,2026-06-26,30.371103922526043,0.15,38.00803444862755,40,0.272,5.013429402373731,44.80603810865432,164.72808128181734,164.72808128181734,0.0012906342428623517,FALSE,Endemic,0.2307319684225744,0.8482792956712294,FALSE,FALSE,FALSE,Intermediate
6585,RR,2026-06-26,30.371103922526043,0.15,60.499998605122656,55,0.484,4.677736971527338,15.50752763170749,32.04034634650308,60.50000000000001,0.012388168340427143,TRUE,Outbreak basin,0.999999976944176,3.9013310207760807,TRUE,TRUE,FALSE,Carrying capacity
