sim_id,site_code,min_N,max_N,final_N
8296,TW,5,5.858559869676049,5.858559869676049
8297,TB,0,3.7593810497727693,3.7593810497727693
8298,TB,5,6.392761581332109,6.392761581332109
8299,TW,40,44.675003028572405,44.675003028572405
8300,TW,30,35.40532241396158,35.40532241396158
8301,RR,9.732188230133447,25,9.732188230133447
8302,SI,10.700581557287387,15,10.700581557287387
8303,TB,5,5.083506161824281,5.083506161824281
8304,TB,0,7.702205490733601,7.702205490733601
8305,RR,14.89362036880296,15,14.89362036880296
8306,RR,25,28.469808608085934,28.469808608085934
8307,SI,5,6.711765828751385,6.711765828751385
8308,SI,7.5556179887275245,10,7.5556179887275245
8309,RR,27.664346269876514,30,27.664346269876514
8310,RR,12.918943774690526,15,12.918943774690526
8311,RR,30,60.55612132807424,60.55612132807424
8312,RR,10.957597285032373,20,10.957597285032373
8313,TW,39.65260089784267,40,39.65260089784267
8314,GR,40,70.70212163814098,70.70212163814098
8315,RR,22.82935482946708,30,22.82935482946708
8316,RR,18.633389473848947,20,18.633389473848947
8317,AL,9.335791959576023,15,9.335791959576023
8318,RR,45,46.59999801041711,46.59999801041711
8319,GR,35,50.53414017103075,50.53414017103075
8320,AL,7.316491363153246,15,7.316491363153246
8321,SI,5,5.086656270421288,5.086656270421288
8322,TW,55,60.443514185936856,60.443514185936856
8323,SI,9.206797334143207,10,9.206797334143207
8324,RR,40,42.15261667700526,42.15261667700526
8325,GR,70,114.42212469296572,114.42212469296572
8326,SI,0,2.953264232050112,2.953264232050112
8327,TB,0,2.291418300068904,2.291418300068904
8328,AL,0,8.754050229944902,8.754050229944902
8329,GR,20,25.62142039084061,25.62142039084061
8330,AL,7.721309379506353,10,7.721309379506353
8331,GR,12.492367450202856,15,12.492367450202856
8332,TW,24.310017151830323,30,24.310017151830323
8333,SI,11.070506770286222,15,11.070506770286222
8334,TB,0,6.9249718488295775,6.9249718488295775
8335,TW,9.757280810611778,15,9.757280810611778
8336,GR,70,88.15913253448197,88.15913253448197
8337,AL,9.497853403923218,15,9.497853403923218
8338,TW,30,33.294785373168544,33.294785373168544
8339,TW,40,85.54002569416933,85.54002569416933
8340,TB,0,3.850419749438975,3.850419749438975
8341,TW,45,70.89322046383975,70.89322046383975
8342,RR,9.209125776711732,10,9.209125776711732
8343,RR,40,43.290821596292794,43.290821596292794
8344,AL,6.855587901544858,10,6.855587901544858
8345,RR,8.540589696309144,10,8.540589696309144
8346,TB,5,7.207518446701139,7.207518446701139
8347,TW,4.896549526824654,5,4.896549526824654
8348,TB,0,7.9446951244250235,7.9446951244250235
8349,TW,50,60.61445059850462,60.61445059850462
8350,TB,0,4.129462609933875,4.129462609933875
8351,GR,9.645585749420617,15,9.645585749420617
8352,AL,0,4.613287078466974,4.613287078466974
8353,GR,8.760438253494849,15,8.760438253494849
8354,AL,0,9.59986531605987,9.59986531605987
8355,TB,3.762932467415248,5,3.762932467415248
8356,SI,0,5.276272799732354,5.276272799732354
8357,TW,50,55.321734549262075,55.321734549262075
8358,RR,18.966602825329836,25,18.966602825329836
8359,AL,0,8.45180153895627,8.45180153895627
8360,RR,10.533157921452691,35,10.533157921452691
8361,GR,50,90.93629674187935,90.93629674187935
8362,TB,0,1.5871311939978596,1.5871311939978596
8363,GR,24.298487981281944,25,24.298487981281944
8364,TB,5,6.9300539425902405,6.9300539425902405
8365,GR,55,91.81775874278767,91.81775874278767
8366,SI,0,9.260268909977986,9.260268909977986
8367,TB,0,6.58216091621713,6.58216091621713
8368,SI,9.809339245074343,10,9.809339245074343
8369,AL,7.857938704736239,10,7.857938704736239
8370,TW,75,80.34627254354186,80.34627254354186
8371,TW,45,52.12418311343179,52.12418311343179
8372,RR,25,27.45318388035015,27.45318388035015
8373,GR,40,112.1205294194565,112.1205294194565
8374,AL,9.106413029273304,10,9.106413029273304
8375,SI,5,5.668153370775403,5.668153370775403
8376,RR,35,46.00287222433168,46.00287222433168
8377,AL,4.255794809780229,10,4.255794809780229
8378,RR,40,42.4534713975485,42.4534713975485
8379,GR,8.92358021919076,10,8.92358021919076
8380,TB,0,6.654069581629511,6.654069581629511
8381,AL,4.917449254037718,5,4.917449254037718
8382,AL,5.300695917930216,10,5.300695917930216
8383,RR,11.643027695951776,15,11.643027695951776
8384,GR,23.053602607564446,25,23.053602607564446
8385,AL,8.317668076398474,10,8.317668076398474
8386,RR,9.979090292106742,20,9.979090292106742
8387,AL,4.021149145042551,10,4.021149145042551
8388,GR,18.481443443607233,20,18.481443443607233
8389,RR,8.327367544509896,10,8.327367544509896
8390,GR,23.523291999942764,30,23.523291999942764
8391,TW,45,148.79267464508024,148.79267464508024
8392,SI,0,7.384393115145332,7.384393115145332
8393,GR,55,60.72418802156913,60.72418802156913
8394,AL,0,5.982580828082371,5.982580828082371
8395,TW,8.732131834382702,10,8.732131834382702
8396,AL,0,8.260437113598343,8.260437113598343
8397,AL,0,4.408806603492869,4.408806603492869
8398,GR,9.855503900431765,10,9.855503900431765
8399,TB,0,6.317685766275955,6.317685766275955
8400,GR,50,180.5751649150889,180.5751649150889
8401,TB,0,4.028802688523752,4.028802688523752
8402,TW,25,35.61242451446411,35.61242451446411
8403,TB,5,5.6442088231461804,5.6442088231461804
8404,TW,8.008647330447845,10,8.008647330447845
8405,AL,4.817665762847423,10,4.817665762847423
8406,TB,5,7.768577073728073,7.768577073728073
8407,TW,14.08284538976179,30,14.08284538976179
8408,GR,40,47.82980924049844,47.82980924049844
8409,AL,0,9.014885722872625,9.014885722872625
8410,SI,0,6.1670416745889645,6.1670416745889645
8411,AL,4.465814044162033,10,4.465814044162033
8412,RR,30,34.113250812574094,34.113250812574094
8413,TW,8.35966176126257,15,8.35966176126257
8414,AL,0,1.946935504866659,1.946935504866659
8415,GR,40,54.450707192302204,54.450707192302204
8416,TW,5,5.604283371328723,5.604283371328723
8417,SI,7.570112111844763,15,7.570112111844763
8418,AL,0,6.457706045716861,6.457706045716861
8419,AL,9.139007046741922,15,9.139007046741922
8420,AL,5,6.3310813718435615,6.3310813718435615
8421,TB,4.273507198688211,5,4.273507198688211
8422,GR,50,54.97848412304085,54.97848412304085
8423,TW,11.502008511437756,15,11.502008511437756
8424,SI,7.4922141042737005,10,7.4922141042737005
8425,RR,7.966544587994126,30,7.966544587994126
8426,AL,5,8.11013943774588,8.11013943774588
8427,SI,4.962701581602,10,4.962701581602
8428,SI,13.697339410737772,15,13.697339410737772
8429,GR,20,24.454775298374138,24.454775298374138
8430,GR,55,111.48542079845002,111.48542079845002
8431,TW,45,50.152111267127005,50.152111267127005
8432,SI,9.335243224376399,10,9.335243224376399
8433,TW,50,68.79177221606197,68.79177221606197
8434,RR,20.63032243596933,25,20.63032243596933
8435,TB,0,4.331274715871734,4.331274715871734
8436,RR,25,26.386725165480403,26.386725165480403
8437,AL,3.975410518700442,10,3.975410518700442
8438,GR,45,78.71311035142249,78.71311035142249
8439,SI,6.301722611762168,10,6.301722611762168
8440,TW,4.368391318438776,30,4.368391318438776
8441,GR,30,31.18191861462269,31.18191861462269
8442,TB,5,5.993884391810283,5.993884391810283
8443,AL,0,1.5592950976068,1.5592950976068
8444,RR,30,34.62617561854926,34.62617561854926
8445,RR,25,25.383170036831025,25.383170036831025
8446,TB,5,9.838262134358269,9.838262134358269
8447,AL,9.954070863425748,10,9.954070863425748
8448,TW,30,47.49108180746395,47.49108180746395
8449,TB,5,7.980852112092234,7.980852112092234
8450,RR,30,32.03010189332361,32.03010189332361
8451,TW,3.8635240630996783,25,3.8635240630996783
8452,AL,8.949809977309423,10,8.949809977309423
8453,TW,11.121941026224142,15,11.121941026224142
8454,SI,0,5.805236250501968,5.805236250501968
8455,TB,3.262449564586069,5,3.262449564586069
8456,RR,14.463675746236824,20,14.463675746236824
8457,SI,7.891903054635815,10,7.891903054635815
8458,TW,45,49.499995606859095,49.499995606859095
8459,SI,5,5.739427811976538,5.739427811976538
8460,SI,0,2.5064454273029377,2.5064454273029377
8461,TW,6.742474490032226,15,6.742474490032226
8462,TB,4.886913956237456,5,4.886913956237456
8463,RR,40,48.80676431580815,48.80676431580815
8464,RR,45,48.38311075802426,48.38311075802426
8465,TB,3.7570717501012796,5,3.7570717501012796
8466,SI,5,6.128200753471447,6.128200753471447
8467,AL,0,5.805446809978375,5.805446809978375
8468,RR,11.175175970407427,30,11.175175970407427
8469,TW,30,42.06241658552465,42.06241658552465
8470,SI,0,5.745451379750665,5.745451379750665
8471,TW,11.702763908794743,15,11.702763908794743
8472,RR,25,25.08408898775515,25.08408898775515
8473,SI,0,3.315503413481447,3.315503413481447
8474,GR,55,74.16732281143933,74.16732281143933
