site,site_code,site_type,survey_id,date,cots_count,mean_size_cm,mean_depth_m,avg_survey_depth_m,duration_min,vis_m,area_ha,cots_ha,temp_c,temp_source
Green Rock,GR,High Density,GR17,2022-11-22,6,40.833333333333336,13.266666666666666,10,45,7,0.2,30,28.34600067138672,MULTIOBS_to_surface
Green Rock,GR,High Density,GR18,2023-10-04,5,40,13.4,13,30,12,0.2,25,29.115999221801758,MULTIOBS_to_surface
Green Rock,GR,High Density,GR19,2024-02-03,3,40,10.4,12,20,12,0.2,15,29.20400047302246,MULTIOBS_to_surface
Green Rock,GR,High Density,GR2,2020-05-19,10,37,10.13,10,50,12,0.2,50,31.39699935913086,MULTIOBS_to_surface
Green Rock,GR,High Density,GR20,2024-02-20,11,46.36363636363637,9.727272727272727,11,20,12,0.2,55,29.298999786376953,MULTIOBS_to_surface
Green Rock,GR,High Density,GR21,2024-03-25,5,40,12.2,10,20,NA,0.2,25,29.767000198364258,MULTIOBS_to_surface
Green Rock,GR,High Density,GR22,2024-04-09,7,50.142857142857146,9.857142857142858,10,30,10,0.2,35,30.674999237060547,MULTIOBS_to_surface
Green Rock,GR,High Density,GR23,2024-04-16,8,49.25,12.375,13,21,12,0.2,40,31.201000213623047,MULTIOBS_to_surface
Green Rock,GR,High Density,GR24,2024-06-04,8,45.875,11.85,11,23,20,0.2,40,31.54400062561035,MULTIOBS_to_surface
Green Rock,GR,High Density,GR25,2024-08-03,6,45,10.5,11,28,20,0.2,30,29.940000534057617,MULTIOBS_to_surface
Green Rock,GR,High Density,GR26,2024-08-26,14,47.142857142857146,11.114285714285714,10,35,20,0.2,70,30.496000289916992,MULTIOBS_to_surface
Green Rock,GR,High Density,GR27,2024-10-16,11,43.36363636363637,12.045454545454545,12,45,12,0.2,55,30.746000289916992,MULTIOBS_to_surface
Green Rock,GR,High Density,GR28,2024-10-21,4,36.5,12.75,12,45,12,0.2,20,29.77400016784668,MULTIOBS_to_surface
Green Rock,GR,High Density,GR29,2025-01-29,9,41.611111111111114,12.177777777777777,10,35,10,0.2,45,27.390260696411133,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR3,2020-05-26,10,35.5,10.9,10,50,12,0.2,50,31.150999069213867,MULTIOBS_to_surface
Green Rock,GR,High Density,GR30,2025-02-19,4,49.5,11.15,10,35,10,0.2,20,28.71000035603841,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR31,2025-02-28,3,41,9.8,10,35,10,0.2,15,28.246647516886394,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR32,2025-03-19,4,37.25,10.625,10.3,30,15,0.2,20,29.571094512939453,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR33,2025-03-26,10,44.5,10.93,10.1,60,12,0.2,50,29.80489222208659,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR34,2025-04-22,2,46.5,8.45,12,25,18,0.2,10,30.603256861368816,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR35,2025-05-21,4,47.5,11,10.1,60,12,0.2,20,30.874474207560223,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR36,2025-06-05,11,42.18181818181818,11.554545454545455,10,65,10,0.2,55,30.526025772094727,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR37,2025-09-16,3,37.333333333333336,11.5,11.2,50,13,0.2,15,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR38,2025-09-16,13,44.46153846153846,9.292307692307693,7.5,50,13,0.2,65,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR39,2025-09-16,11,44.18181818181818,9.8,9.8,50,13,0.2,55,29.870189030965168,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR4,2020-07-13,11,36.81818181818182,10.454545454545455,10,45,12,0.2,55,30.141000747680664,MULTIOBS_to_surface
Green Rock,GR,High Density,GR40,2025-10-21,3,44.666666666666664,12.966666666666667,12.7,22,10,0.2,15,29.65582021077474,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR41,2026-01-19,6,38.5,11.716666666666667,12,25,6,0.2,30,27.8167781829834,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR42,2026-02-10,11,45.09090909090909,9.3,10,30,10,0.2,55,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR43,2026-03-19,4,51.25,10.825,10.4,30,6,0.2,20,28.799495061238606,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR44,2026-04-15,2,34.5,11.149999999999999,9.5,25,20,0.2,10,30.790016810099285,ANALYSISFORECAST_thetao_0.49m
