site,n_surveys,N0_type,N0,substrate_date,live_coral_prop,live_coral_percent,state1_scenario,State_1,kc_scenario,K_c,sst_scenario,SST,r_T,K_t,valid_state_order,observed_threshold_position,sim_id
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,high_coral_high_K,100,cool,27,0.004258352536147206,NA,NA,NA,85
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,high_coral_high_K,100,current_mean,29,0.004975062395963412,NA,NA,NA,86
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,NA,NA,NA,87
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,high_coral_high_K,100,warm,31,0.0037267965227149014,NA,NA,NA,88
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,low_coral_low_K,25,cool,27,0.004258352536147206,NA,NA,NA,89
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,low_coral_low_K,25,current_mean,29,0.004975062395963412,NA,NA,NA,90
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,NA,NA,NA,91
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,low_coral_low_K,25,warm,31,0.0037267965227149014,NA,NA,NA,92
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,NA,NA,NA,93
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,NA,NA,NA,94
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,NA,NA,NA,95
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,NA,NA,NA,96
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,NA,NA,NA,97
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,NA,NA,NA,98
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,NA,NA,NA,99
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,high_endemic,10,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,NA,NA,NA,100
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,NA,NA,NA,101
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,current_mean,29,0.004975062395963412,NA,NA,NA,102
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,NA,NA,NA,103
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,NA,NA,NA,104
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,high_coral_high_K,100,cool,27,0.004258352536147206,NA,NA,NA,105
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,high_coral_high_K,100,current_mean,29,0.004975062395963412,NA,NA,NA,106
Aow Leuk,20,mean_observed_density,8.75,NA,NA,NA,low_endemic,3,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,NA,NA,NA,107
